term,course,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17_charge,q17,q18_charge,q18,q19_charge,q19
15-16_FA,MA241,5,2,4,2,3,3,3,2,4,2,2,4,4,3,5,3,0,,-3,"When he gives us examples, don't make the test questions ten times harder.",-3,"I will probably be taking it again. I wish I didn't have to, for monetary reasons, but I will have to and will be looking for a different teacher."
15-16_FA,MA241,5,2,4,1,2,5,5,5,3,5,5,5,5,4,5,4,2,To be able to have a better understanding on Calculus as a whole that what I had learned previously.,1,None,0,None
15-16_FA,MA241,5,3,3,3,4,5,5,4,5,5,5,5,5,5,5,5,2,Professor Briggs was able to make a very challenging subject a bit easier to understand. He was also always helpful during office hours in trying to make difficult chapters a bit easier to understand.,-1,The only improvement would be that I wish the difficulty levels of the homework and the tests were similar. I felt that the homework was easier compared to the tests.,2,MA241 was definitely a challenging class. Professor Briggs was a great instructor.
15-16_FA,MA241,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,He answered questions very well and challenged us.,1,none,3,This class was awesome
15-16_FA,MA241,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,1,The ability to help me find a solution in my questions.,0,,0,
15-16_FA,MA241,5,4,4,4,3,5,5,5,3,4,4,5,5,5,5,5,3,His passion for the subject and always explained everything with great detail,1,Everything was fine,0,
15-16_FA,MA241,5,1,4,3,3,4,2,4,5,4,4,3,2,4,5,3,0,,0,,0,
15-16_FA,MA241,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,0,,0,,0,
15-16_FA,MA241,5,4,4,4,5,5,4,5,4,5,5,5,5,4,5,5,3,"He provided us practice quizzes to sharpen our mathematical skills, and went over these practice quiz in deep detail.",0,,0,
15-16_FA,MA241,5,5,4,4,5,5,5,5,4,4,4,5,5,4,5,4,2,My professor used many on board examples of the material in order to further explain the questions at hand.,3,"I do not personally believe that this professor could improve his teaching performance, I understood everything very well and he went above and beyond normal explanations to give in depth understanding of the material.",2,"If any further math class is offered by this professor, I will take it."
15-16_FA,MA241,5,4,3,1,3,4,4,4,2,5,5,5,4,5,5,4,2,"long office hours, step by step instruction",-2,"it is a calc one class, however it seems like it is being taught at the assumption that everyone has calc knowledge. As a student that has never taken calc it was extremely fast pace and over my head a lot of the time.",0,
15-16_FA,MA241,5,3,3,3,2,2,1,1,2,3,3,3,2,4,3,1,0,,0,,0,
15-16_FA,MA241,4,4,3,2,3,4,4,4,3,3,4,4,3,4,5,4,3,really encouraged to come to office hours for extra help and staying after class if you didn't understand the material. he wants you to do well and continue,-2,be a little more enthusiastic for the class and seeing the students,0,no comment
15-16_FA,MA241,5,4,5,2,3,5,5,5,4,5,5,5,4,5,5,5,3,Funny Incredibly intelligent Knows how to teach every student on a one on one scenario Nice,3,He is perfect,3,"Best math teacher that I've ever had and probably will.  The only reason I didn't learn enough is because I didn't try enough, he is the best teacher. Nothing wrong with him."
15-16_FA,MA241,5,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,0,,0,,0,
15-16_FA,MA241,5,4,2,4,5,5,5,5,2,4,4,4,4,5,5,4,0,,0,,0,
15-16_FA,MA241,5,4,4,4,3,5,4,4,,5,5,5,4,5,5,4,1,giving examples of more difficult problems,-1,explaining things in a more simple manner,0,
15-16_FA,MA241,5,4,4,4,5,5,5,5,3,4,4,5,5,5,5,5,3,Office hours were definitely a huge help! It was greatly appreciated and he also always answered emails!,-1,General explanation of things. He would explain but sometimes we'd still need a better explanation.,3,Great Professor who made it fun to learn calc!
15-16_FA,MA241,5,5,4,3,4,4,4,4,3,4,4,3,4,4,4,4,2,"A strong understanding of calculus, ability to communicate that understanding, and good sense of humor.",0,The course needs more material.,0,
15-16_FA,MA241,5,3,5,3,3,5,3,4,4,4,4,4,4,4,4,3,0,,0,,0,
15-16_FA,MA241,5,4,3,2,4,4,5,5,,4,3,5,,,,5,2,His occasional humor and creative scenarios for demonstrating the math.,-1,He should do a specific problem type multiple times so that everyone can understand.,0,
15-16_FA,MA241,5,3,3,3,4,4,4,4,3,4,4,5,5,5,5,5,2,"having taken calculus before, being presented with the ideas in a new way -not necessarily working through problems on the topic but learning the theory behind them- helped me build on my knowledge of the topics.",-1,"possibly focus a few more examples per chapter on solving with trigonometric functions, since some topics covered were in the grey area of how to solve them.",0,
15-16_FA,MA241,5,1,5,1,2,1,2,3,1,4,2,3,4,4,4,2,2,The plentiful office hours provided by Dr Briggs were very helpful.,-3,I felt that Dr Briggs did a poor job of working with students. If a student did not understand something he would tell them to go to his office hours instead of further explaining the concept to the advantage of the rest of the class.  At office hours Dr Briggs would provide very vague explanations often simply reworking a problem the same as before.  When demonstrating concepts he would skip the steps required by doing work in is head and only showing the start and end result of the problem.  Often times I would have to rely on the instructional videos in the homework to learn a concept. Many times I felt as if calculus was a prerequisite for taking calculus.,-3,I would have greatly appreciated Dr Briggs showing up to his office hours for the days before the final.
15-16_FA,MA241,5,3,4,4,5,4,5,4,3,5,5,5,4,5,5,5,3,His broad teaching was very easy to comprehend. From there homework and tests were very specific.,0,,2,"Tests are more rigorous compared to other math professors here which helps you learn the subject with more comprehension. After a while you get used to the rigor. Love him as a teacher even though exams are hard. Some people are sometimes confused when he skips steps, but he does ask if anyone has a question when he does skip steps. Very relaxed personality."
15-16_FA,MA241,5,3,4,2,3,4,3,4,3,4,4,4,2,4,5,4,3,He is a very enthusiastic and good teacher. He knows the subject well and will help students learn the material if they don't understand,-2,He is kind of hard to understand material wise and many students I've talked to have a hard time understanding what goes on in class.,0,
15-16_FA,MA241,5,5,5,4,5,4,4,4,4,5,5,5,5,4,5,4,0,,0,,1,I liked the instuctors teaching style.
15-16_FA,MA241,5,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,1,Giving lots of examples in class,-1,Sometimes his approach to a problem is a little difficult to understand,2,I enjoyed the class and I am looking forward to next semester with Briggs
15-16_FA,MA241,5,3,4,2,4,4,4,4,5,5,4,5,5,5,5,5,0,,0,,0,
15-16_FA,MA241,5,3,3,2,3,4,4,4,2,4,4,4,4,4,5,4,2,"Constantly made sure we were keeping up with him, and would go over stuff again if anyone had questions.",0,,0,
15-16_FA,MA441,5,4,4,3,4,4,3,4,,5,5,5,4,4,5,4,3,"Willingness to show examples and be available to walk through problems in his office hours, super approachable and willing to talk about math, great guy",-2,"Homework can be very very hard and long to do. Really can be challenging at certain times to complete, forces you to think very hard about the problems",3,"Honestly the homework is some of the hardest I've done, the tests were fine. This class really makes vector calculus seem easy in other applications and that is a true advantage. Chris is a super chill dude, and a great professor, very , very challenging. The homework did get better as the semester progressed and I did really learn math."
15-16_FA,MA441,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,0,,0,,0,
15-16_FA,MA441,5,5,4,4,4,3,4,5,4,5,5,5,4,4,4,4,1,The examples and proofs helped understand the concepts.,-1,"Some of the examples and problems were difficult, even for the professor, so maybe choosing more reasonable problems.",0,
15-16_FA,MA441,5,5,3,4,5,4,5,5,3,5,5,5,5,4,5,5,3,"As I'm sure the reader knows, this was Dr. Briggs' first semester at ERAU. I would like to emphasize that his interest in the students and his casual teaching style is exactly what I needed to learn this material. He is flexible, approachable, and friendly. We need more of him in the Math department at the school, and less of a few other instructors. I would be interested in seeing him teach Linear Algebra.",2,None. Great work.,0,None.
15-16_FA,MA441,3,5,3,3,4,4,4,4,,4,5,5,5,4,5,4,2,Dr. Briggs' method of teaching (derivations and then examples) helped me to understand the material.,0,Homework assignments were long at first but gradually got better.,0,
15-16_FA,MA441,4,4,4,2,3,4,4,5,2,5,5,5,4,5,5,5,3,"A really smart guy, and that was clear. I could not ask a question he couldn't answer. Also, he was patient and answered all of my questions, even if they were dumb.",0,"Definitely talked over my head quite a bit, but that isn't really his fault.",0,
15-16_FA,MA441,5,2,2,2,3,,5,5,,5,4,5,5,4,5,4,0,,0,,0,
15-16_FA,MA441,5,3,4,2,3,5,4,3,,5,5,5,4,5,5,5,0,,-1,"He needs to require a text book as some of the material is too hard to understand without a book and design problems based on the book, not random problems that he designs",0,
15-16_FA,MA441,5,3,1,1,3,4,4,5,,5,5,5,5,5,5,5,3,Very good and can relate to the students.  Dr. Briggs is extremely good at understanding and answering questions.,1,None...,1,Good course and instructor.
15-16_FA,MA441,5,5,4,3,4,4,4,3,,4,4,4,4,4,4,3,0,,-2,"Assignments pertaining to subject matter on a test should not be due on or after the test date.  They should be turned in, graded, and returned so the students have a chance to know how well they know the material.",0,
15-16_FA,MA441,5,4,5,4,5,,5,5,3,5,5,5,5,3,5,5,3,"Very good at explaining things, seemed excited to teach everyday (except when sick ha ha).",3,Nothing you are awesome!,2,Look forward to seeing you next semester!
15-16_FA,MA441,3,4,3,3,3,2,2,4,3,3,4,4,3,2,4,2,2,He is personable and approachable.,-3,"Providing an clear goal in class for materials and examples. He also tends to write on the board in silence, and doesn't narrate what he is doing. Then, while you are trying to copy what was written he will explain it and you often miss portions of the explanation. It would be much more helpful if he would explain more while he was writing.",-1,Before starting an example or a subject it is very helpful to have a clear idea what the goal is or what the desired output is so that students can see how each step in the process is working towards the goal. Often we start examples in class that lack a clear direction.
15-16_SP,MA241,5,3,4,2,3,3,5,5,5,5,5,5,5,5,5,5,2,Extended explanation of the material upon request.,0,,0,
15-16_SP,MA241,5,4,3,3,4,4,4,4,5,5,4,4,4,4,4,4,0,,0,,0,
15-16_SP,MA241,5,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,0,,0,,0,
15-16_SP,MA241,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,2,Very organized lectures with general steps and procedures laid out.,1,none,2,Its always a wonderful day in MA241.
15-16_SP,MA241,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,2,What helped me the most was the lectures that were taught were similar to the homework and tests.,1,There is no area that needs improvement.,0,
15-16_SP,MA241,5,4,4,3,3,4,4,5,3,3,4,4,4,4,5,4,0,,0,,0,
15-16_SP,MA241,5,4,3,3,4,4,4,4,4,4,4,4,5,5,5,4,1,Repetition for certain types or problems.,1,None that I could see.,0,Nope.
15-16_SP,MA241,5,5,4,4,4,3,3,3,3,4,5,5,4,5,5,3,0,,0,,0,
15-16_SP,MA241,5,3,2,3,3,5,4,5,2,3,5,5,5,5,5,4,0,,0,,0,
15-16_SP,MA241,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,"Dr.Briggs was great at teaching because he went far beyond what the book teaches. I feel like many teachers teach right out of the book, but Dr.Briggs used his own knowledge to teach us. He would often include insights that were not mentioned anywhere else.",0,,0,
15-16_SP,MA241,5,4,4,3,4,4,4,5,4,5,4,5,5,5,5,4,0,,0,,0,
15-16_SP,MA241,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,0,,0,
15-16_SP,MA241,5,3,4,2,3,4,4,4,2,4,4,5,4,5,5,4,1,the way he explained new material,1,none,0,
15-16_SP,MA241,5,3,3,1,3,5,5,5,4,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA241,5,5,4,4,5,5,5,4,3,4,4,4,5,5,4,4,1,His ways of defining math problems on the board,-1,Showing work within longer problems instead of skipping the easy stuff,1,"Overall good professor, just a little bit too rough when it comes to solving problems but was able to learn the subject"
15-16_SP,MA241,5,3,4,2,4,5,5,5,5,5,5,5,5,5,5,5,1,Going over certain problems and examples step by step to see how the overall process works.,1,No Improvement,0,None
15-16_SP,MA241,5,4,4,3,4,4,4,4,4,4,3,5,5,5,5,3,0,,0,,0,
15-16_SP,MA241,5,3,2,3,3,4,3,3,3,4,5,5,4,4,4,3,0,,0,,0,
15-16_SP,MA241,5,4,5,2,4,5,5,5,4,5,5,5,5,5,5,5,3,Spends as much time as a student needs to help him understand the subject. He is most helpful in class and specially in office hours. It helps when I go to office hours with a question which he explains but to make sure you understand he give extra practice on that topic!,0,,3,Very helpful and very respectful to all students! very lineant with his test and giving extra time to study if student shows interest in learning the subject
15-16_SP,MA241,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,"Dr. Briggs answers questions in class in a very constructive manner, and his office hours were always incredibly helpful.",0,,2,I think this course tested critical thinking very well and set me up for success in Calculus II.
15-16_SP,MA241,5,3,3,3,3,4,1,2,2,3,3,3,3,3,3,2,0,,0,,0,
15-16_SP,MA241,5,4,5,2,4,5,5,5,5,5,5,5,5,5,5,5,3,His willingness to go over a problem again and again until I get it is amazing. He knows how to teach really well,0,,3,"I really appreciated his personable, approachable attitude, and willingness to help."
15-16_SP,MA241,5,3,3,1,3,5,5,5,4,5,5,5,5,5,5,5,3,the instructor's patience and ability to help people understand the material in a way that relates to the individual's learning styles.,1,none,3,"i would recommend this instructor to future students.  the instructor may be a little tougher than others in a way but his instruction really helps students get well prepared for the future, not just the next class.  the grading system is genuinely fair, and seems to actually reflect the work put in by the student to learn the material. it would be nice to have more time to learn the material and to have more chances to work with it as well, maybe an extra week or so added to the semester, or maybe offer a free or very cheep class in the beginning of the semester that maybe lasts for a month or two tops in addition to and also to serve as a refresher to the math learned in high school.  The refresher class could cover the algebra, trig, and geometry skills needed to master the calculus concepts learned in MA 241.  the instructor did his best with the time he was given and the office hours were very helpful.  i just think that since the math, and physics as well, are both so critical to the success of most, if not all, students it would be worth coming up with an affordable way to help students bridge the gap between high school and college.  i also want the school to understand that not all students are fresh out of high school, some of us HAD to take the military rout just so we can pay for tuition.  it would be nice to take a refresher course for math and physics on our own but some people cant afford that, we need  to rely on the GI bill to cover as much schooling as we can and taking extra classes means using up the GI bill and having to pay that much more out of pocket later on.  just a suggestion though. otherwise the class was great!"
15-16_SP,MA242,5,3,3,3,3,5,4,3,3,4,5,4,4,5,5,3,0,,0,,0,
15-16_SP,MA242,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,0,,0,,3,"Professor Briggs's enthusiasm for teaching and commitment to his craft is extraordinary. He is an asset to the Maths department and the university as a whole. He is flexible, understanding, and appropriately critical."
15-16_SP,MA242,5,5,5,3,5,5,5,5,4,5,5,5,4,4,5,5,3,"He responded to all the questions that were asked in class in a very good manner, and easily clarified any confusion the presented itself. He was a very helpful professor when it came to his office hours, he helped clarify each subject and made it easier to understand the full purpose of the material.",0,,0,
15-16_SP,MA242,5,5,4,3,4,4,4,4,2,4,4,5,4,4,5,4,2,"Although Chris is a very difficult teacher, he does his best to make sure you are learning the material by assigning homework due every week, difficult tests with ample review over the material, and encourages asking questions more than anything else.",-1,Maybe work through the problems a little more step by step when teaching the class... We get a little lost sometimes.,2,"This is my second semester taking Briggs as my MA professor and like I said before, he is a very difficult teacher, but very good in the long run, because he forces you to actually learn the material, which will always pay off in the end."
15-16_SP,MA242,5,4,3,3,4,4,4,5,5,4,5,5,4,4,5,4,3,"Very helpful, wantingness to better our critical thinking skills and how we can take a problem to manipulate it to how we want to make the problems easier",1,nothing,0,no comment
15-16_SP,MA242,5,,3,3,4,5,5,5,5,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA242,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA242,5,4,4,3,4,4,4,4,3,5,4,4,5,5,5,4,1,Challenges students and actually makes them work hard,-1,"Sometimes when doing work on the board, skips steps and thats confusing. Also, goes works through problems a little too fast for students to keep up.",0,
15-16_SP,MA242,5,4,4,2,3,4,4,4,2,4,5,5,4,4,5,4,1,His willingness to help and adequate amount of time allowed to learn,-1,Lecture became a bit more dry compared to last semester,2,Good Teacher overall
15-16_SP,MA242,5,3,4,3,3,,5,3,3,4,4,4,4,4,5,4,1,Dr. Briggs teaching methods allowed me to learn in an engaging method,0,,-2,"The tests are super hard. I think they need to be more than 4 problems. I felt like I knew the material, but the test was not always the same as what was taught in class."
15-16_SP,MA242,5,4,4,3,4,4,4,5,4,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA242,5,4,3,3,3,5,5,5,4,5,5,5,5,5,5,5,1,Simple explanations of complex topics,-1,Difficulty of exams,2,I like Briggs
15-16_SP,MA242,5,3,4,3,5,5,3,5,3,5,5,5,5,4,3,5,0,,0,,0,
15-16_SP,MA242,5,5,4,3,4,5,5,5,3,5,5,5,5,5,5,5,3,Dr B is able to explain things simply in terms I can understand. Some teachers can only explain things one way and if you don't understand then too bad but with Dr. Briggs he can just switch gears and explain it on my level. He helps me to understand how to solve problems by manipulating problems and applying other basic knowledge to derive more complicated ones.,3,None. Teacher Chris is the best math teacher I've ever had and the only one that has actually gotten me excited about math,3,Best math teacher I've had 10/10 would learn again
15-16_SP,MA242,5,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,1,His broad teaching style allowed me to easily understand what he was doing.,0,None,3,He should teach Calc 3 and Diff EQ. Exams are a little hard but I have had him for two years now and like him as a teacher.
15-16_SP,MA242,5,1,5,1,1,4,2,2,1,2,5,4,4,3,3,3,1,office hours,-2,do not skip steps on problems and topics that are confusing,-1,explain using more examples
15-16_SP,MA242,5,,2,2,2,4,3,3,,3,3,3,3,3,3,3,-3,NOTHING I AUDITED THE CLASS,-2,The class only made sense if you had taken him for calc 1 because he made multiple references to his lessons in that class.,0,
15-16_SP,MA242,5,5,4,3,5,5,5,4,4,5,5,5,4,5,5,4,2,Dr. Briggs does a lot of examples in class and is more than happy to meet with you outside of class to help you understand the material better.,1,I have no complaints.,0,
15-16_SP,MA242,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,0,,0,,0,
15-16_SP,MA242,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA242,5,4,3,3,4,5,5,5,3,5,5,5,5,5,5,5,3,"His review sessions were very helpful in better understanding the material from that week. Professor Briggs was also very helpful during his office hours. Compared to last semester, his tests seemed to be more reasonable.",-1,"My only suggestion would be to trim down the amount of homework given per week or at least during a test week. Having to do three calculus assignments, work form other classes and find time study wasn't always easy.",3,"Overall, this was a great class and professor Briggs was a great instructor. I would definitely recommend Briggs for future calculus 2 students. If he were teaching calculus 3 next semester, i would definitely take his class."
15-16_SP,MA242,5,4,4,4,5,3,4,3,3,3,4,4,5,5,5,4,2,"Lessons were helpful and prepared me for the homework, they also were well organized and time spent in class was put to good use",-2,The tests are too hard,1,I like how on Thursdays in class are spent doing practice problems
15-16_SP,MA242,5,1,5,2,3,4,4,4,4,4,4,4,4,4,4,4,0,,0,,0,
15-16_SP,MA242,5,4,5,3,4,4,4,4,3,5,5,5,5,5,5,5,0,,0,,0,
15-16_SP,MA242,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,He is just a freaking genius.  Every single day I go in I am equally as impressed as the first day.  His knowledge is beyond any other math teacher I have had.  He makes you struggle and he knows that which is great because he knows how to compensate for it.,-1,Sometimes he is speedy through the notes/examples.  Taking a little more time would be very helpful.,3,His class is hard but you learn sooooo much.  Learn to struggle and it will help so much.
15-16_SP,MA242,5,5,4,4,4,4,4,4,3,3,3,4,5,5,5,4,1,My professor was able to connect my pervious knowledge of this subject to the new information he taught.,-3,This professor should try to understand that not every student understands his teaching methods and should try to improve on those to encompass a wider range.,3,This professor is wonderful at what he teaches and has a wide understanding and insight into this subject. It is very interesting to see how he thinks of problems and how he solves them.
15-16_SP,MA242,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,making sure the students understood the material.,-2,making exams not as hard as he does. the stuff we cover in class is a lot easier than on test day.,3,had a great time in the course and enjoyed it a lot.
15-16_SP,MA242,5,4,3,3,4,5,5,5,5,4,5,5,5,5,5,5,3,"Professor Briggs is excellent at explaining mathematical concepts, and he helps instill an interest in the subject that I didn't feel with other professors.",0,no comment,1,His light sense of humor and helpful attitude were some other very good points I noticed.  Perhaps more effort could be taken in explaining just how certain concepts apply in the real world.
15-16_SP,MA242,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,0,,-2,The test format was very unforgiving and frustrating,0,
15-16_SP,MA242,5,4,3,2,3,5,3,4,3,4,3,4,4,4,5,4,0,,0,,0,
15-16_SP,MA242,5,4,2,3,4,4,5,5,3,4,4,5,5,5,5,5,3,"He is a genius, clearly one of the most intelligent people I have ever met, not only in the field of mathematics, but in any area of life I have seen him speak about. He loves math, and wants to inspire the love of math into his students. I am really bad at calculus, but Dr. Briggs challenged me to learn and to suffer through this course. I had to spend time nearly every single day studying and learning, and it was very comforting to know that even though I am struggling Dr. Briggs would always be there excited to help me learn, and help me not just regurgitate memorized formulas and patterns onto test, which is what I have done in nearly every math course ever, but to actually dive deeper into the study of Calculus. I am grateful to that I had him as a teacher, and I feel that he has prepared me to try and conquer calc III next semester.",3,"He's title, there is no way that an amazing, inspiring, enthusiastic teacher like Dr. Briggs should be bellow a disgruntled man like Dr. Topper. Briggs inspires; Topper discourages.",3,"Although you were challenging, and I had to work my ass of in the course, I'd still like to take classes in the future with you."
15-16_SP,MA242,5,4,3,3,3,4,4,2,4,4,5,5,5,4,5,3,2,Very useful office hours!,-2,Test questions are more challenging than in class examples or HW. This makes studying frustrating at times.,0,
15-16_SP,MA242,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,3,Practice tests were very helpful. I like how you explain the theory and concept of each lesson and then you work examples of what was said. This really helped me understand and retain the information stated in class.,0,N/A,3,Thank you for a great year in math. I really enjoyed everyday of each math course I took with you. Your are a terrific teacher and have motivated me into considering a minor in mathematics. Look forward to seeing you around campus next year.
15-16_SP,MA242,5,4,4,2,3,4,4,4,4,5,5,5,5,4,5,5,3,Professor Briggs would take any question you had no matter how far back it was in the problem or how easy it was and would explain it in as many ways has he could in a reasonable amount of time and if you still did not comprehend he would ask you to come to hsi office where he was more than willing to go over it half a billion times a million different ways until you understood the problem.,0,"Professor Briggs is a genius, this can become an issue because he will occasionally make up a problem on the board and solve it to explain something but accidently leave most the class in the dust. He does an amazing job of bringing us up to speed but it makes studying hard when you look at your notes and they are all over the place due to the fact Professor Briggs had to backtrack half a dozen times before he found the right way.",-1,"The biggest issue in this class that I struggled with is the fact that there is so little communication between all the teachers. I know there is no perfect way to have all the teachers coordinate but I had Professor Thomas last semester and I loved him and learned a lot from him but Professor Thomas did not focus very heavily on tricks like trig substitution, sin and cos tricks and that genre of things. Professor Briggs did focus on that in his Cal 1 class and continued to focus on that in his Cal 2 class which made those of us who did not have him for Cal 1 play catch up all semester."
15-16_SP,MA242,5,4,3,2,3,5,4,5,4,5,5,5,5,5,5,4,3,"His office hours, he's willing to fill in any whole, no matter what level of math the issue is in, in order to bring us up to speed with what we need to know. Very down to earth, and willing to work with students.",-1,"The hmk cannot have an extension, as the class is curved, and I understand the fairness of the fact. However, if I had run into some type of emergency, it would be very difficult to ignore not doing the hmk, as to get behind is not a good idea, even if an extension were to be granted.",0,"Like many math professors, he believes in the struggle method, to stress/scare, as a mental trick to subliminally teach our minds that its important. Now, it works, and pays off in the long run, but it hurts, deffinetly adding to the stress. (Calc II is a bit of a cram anyway)."
15-16_SP,MA242,5,2,5,2,3,5,3,1,3,5,5,4,5,5,5,2,3,He was very concise and talked clearly throughout the entire class and was very engaging.,-2,He really needs to tone down the difficulty of the tests and he also need to have a slightly less strict grading policy for tests.,0,
